"name","image _url","max_price"
"Urban Hazard","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fY3VfZml2ZXNldmVuX3VyYmFuX2hhemFyZF9saWdodC41Y2NkYWQ2YjNjMjBkNDExN2Y1ZDBjODQ5NmU2ZDI1Mjk0NDc0Y2M2LnBuZw--/auto/auto/85/notrim/329b3248a56b1efc59e974f8bbc16dc0.webp","2.73"
"Scrawl","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fY3VfZml2ZXNldmVuX2FscGhhX29tZWdhX2xpZ2h0Ljc4Y2QzNDM2MWMwM2UzOTgzNTNmNWE0ZWNhOTc2OGYwNDUwMDNkYWIucG5n/auto/auto/85/notrim/6627905fe3a2060f32fe03fdf40e265e.webp","0.85"
"Violent Daimyo","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fY3VfZml2ZV9zZXZlbl9kYWlteW9fbGlnaHQuZjgzYmU2NjkwYjg5ZWMxMTYwNTgyYWU4ZGFlNDIwZWY4NWQ3NjU0OC5wbmc-/auto/auto/85/notrim/508c1a24662c95fc1cfe69eb810973f0.webp","1.31"
"Crimson Blossom","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5faHlfYnVkX3JlZF9saWdodC5lMjg3NWYzOTExMWFlYTgxMWQxN2I0N2FlZmRkODMwY2Y5N2UzZTEyLnBuZw--/auto/auto/85/notrim/b53089c8680ffefd8d6adc3bbbfbb652.webp","211.04"
"Silver Quartz","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fYW1fY3J5c3RhbGxpemVkX3NpbHZlcl9saWdodC5lOGVlNGMxM2I4MmVmNzdlMzRkZDliMTA0ODRjMDhhYWMyYmM3ZDBiLnBuZw--/auto/auto/85/notrim/31049d8e036ae522edb6d12d1a9e0969.webp","0.52"
"Hot Shot","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fc29fZ3JleV9udWNsZWFyX29yYW5nZV9maXZlX3NldmVuX2xpZ2h0LjgxOGQyNGQ0MzVjMzY5ZmU3ZjAzY2YyOTQ0OTFjZmYwMTFlYjRjYWYucG5n/auto/auto/85/notrim/6da091088a668707e6a7428aaf9b46fe.webp","34.24"
"Midnight Paintover","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5faHlfb3ZlcnBhc3NfcGFpbnRvdmVyX3RlYWxfbGlnaHQuM2JmMjljMjljOGY5ZWRlN2U4OWU4NzUwNzk4ZjU0YzU2YzJlZDRiMy5wbmc-/auto/auto/85/notrim/57fafc3033a61a5b1bb87bb51af203c9.webp","0.26"
"Buddy","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fY3VfZml2ZXNldmVuX2dzZzlfbGlnaHQuZjkwN2VmMTc4Y2YzNDk5ZTM3ODdkNzBkZmFjYTEwZTI1NjkwNWZhZi5wbmc-/auto/auto/85/notrim/5438fd5e083bae2f91d9ec6ec3a591b3.webp","3.04"
"Retrobution","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fY3VfZml2ZXNldmVuX3JldHJvYnV0aW9uX2xpZ2h0LjQ5NjIxOWFhYzI2ZmQxYjI0ZTUxYWQ2YjIyMWZiYjJhMTdiMTk3NzMucG5n/auto/auto/85/notrim/366413f829d72c553dbfec18a39f2049.webp","9.34"
"Kami","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5faHlfa2FtaV9saWdodC4yZDNlOGNiZDMwMTdlMTJiNzBlNmRjMjUwZmEzYzZhYzQ3Y2Y0ODE0LnBuZw--/auto/auto/85/notrim/058244c97b80add1485c2ba942f6c4ca.webp","2.96"
