"name","image _url","max_price"
"Cartel","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2FxX3AyNTBfY2FydGVsX2xpZ2h0Ljg5ZTEyNWRiMjAyMGExODg0YjQ3MzBiZDYxNDZiNWRmMjdhMGY2MGYucG5n/auto/auto/85/notrim/cc37efb8d08815609ac03a2967582267.webp""]","70.07"
"Supernova","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2N1X2JpdHRlcnN3ZWV0X2xpZ2h0LmJmOWIyZmFjNzkzYTczZTg2OWY4YzBiNzM0ZTk0YzBlYzAwMjFmMTAucG5n/auto/auto/85/notrim/52c68401bdf5d5bb43ab184be1bb79fe.webp""]","4.26"
"Wingshot","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2h5X3AyNTBfY3JhY2tzaG90X2xpZ2h0LmNhZTEzM2RmZWY3ZTk4ZjU5ZGI4MjE0NDUxZjMwMjZkYjBjZjVmM2MucG5n/auto/auto/85/notrim/aebf60d821dec90aee3ee3442e7cfbdf.webp""]","13.55"
"Bullfrog","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX3AyNTBfYnVsbGZyb2dfbGlnaHQuOWM4MDE1OTY0N2M4NTE4YmNkYWNlNGY2NTlkOTMyN2VmMDJhZTEyNC5wbmc-/auto/auto/85/notrim/42d32f802722662d5c9bd0d49f69cb4c.webp""]","1.64"
"X-Ray","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2N1X3hyYXlfcDI1MF9saWdodC40MDhjYzU1MjUxODI1YWUyZjFlYTcyMGQ2OGFmMDJlMTI0YWFmNTAxLnBuZw--/auto/auto/85/notrim/12aa42c706b9903a48bdf15579b0d04b.webp""]","4.07"
"Mint Kimono","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX3NwX2tpbW9ub19kaWFtb25kc19saWdodC44MzY1MTcwM2IxY2Q0MWYwY2Y4YjRhYzJiZWNiYTMzYTkxZDM0NjVhLnBuZw--/auto/auto/85/notrim/532f3358818ecd7ba39a4500380ce041.webp""]","11.09"
"Cassette","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2N1X3AyNTBfY2Fzc2V0dGVfbGlnaHQuY2RjNjNhZDE5YWMzOWJjNjJiZTVjMzM5M2U5NjQzM2Y2NTJhMWI3ZS5wbmc-/auto/auto/85/notrim/20f44919c884b7cef484327b10150932.webp""]","0.52"
"Cyber Shell","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2dzX3AyNTBfY3liZXJzaGVsbF9saWdodC4yZTJjM2E4OGM3M2JhNGViYjJlM2ZjZGQyZWExOTdiNWYzMGU1Njc5LnBuZw--/auto/auto/85/notrim/4df0685fafe599d5ea10c89fa8704c9d.webp""]","3.86"
"Mehndi","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2N1X3AyNTBfcmVmaW5lZF9saWdodC5lOGMzMTI1YTIyZWJlZTI0NjVjODVjYzVjZjc5ODM1YmI0MWU4ZGViLnBuZw--/auto/auto/85/notrim/336ee5bf9df2865d806238393a60b344.webp""]","71.94"
"Crimson Kimono","[""https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2h5X2tpbW9ub19kaWFtb25kc19yZWRfbGlnaHQuZTNmYzQxNzJlNDI1YTdjOTg0OTZkNzMwMjY2ZjE1Mjk2NWM5NjkwOC5wbmc-/auto/auto/85/notrim/dffa8123c69af9c341c59cf84217de0f.webp""]","30.39"
