"name","image _url","max_price"
"Stockholm 2021 Copenhagen Flames (Holo)","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL3N0b2NraDIwMjEvY29wZV9ob2xvLmQ1YTBhNzBmNTNmZWQ2YjkxOGQxOTM5OTIwNDJhODFiNmIxYzhhZjMucG5n/auto/auto/85/notrim/4e9d3f9d4e35f97248d4e9a7d6610f87.webp","$39.99"
"Sticker Winding Scorch","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2NvbW11bml0eS9lbGVtZW50YWxfY3JhZnQvcGFwZXJfZmlyZV90aHJlZS42NTNmMDIxZTYxNGQ2ZjZmNWVkNWUzZjJmYzNiNWE5N2JjMmNmODk5LnBuZw--/auto/auto/85/notrim/66fe39df798b233e7cef6e5bd8be3a0b.webp","$1.41"
"Sticker Bolt Strike (Foil)","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2NvbW11bml0eS9lbGVtZW50YWxfY3JhZnQvZm9pbF9saWdodG5pbmdfdHdvLjI4MjRmN2MzOWY2ZmEzOTg3OWNkNzk4NTE0OTJhNGJkNDQ1MDY5ZjEucG5n/auto/auto/85/notrim/2cbdca715c4a9abd77146f366345a42d.webp","$3.60"
"Sticker Bolt Charge","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2NvbW11bml0eS9lbGVtZW50YWxfY3JhZnQvcGFwZXJfbGlnaHRuaW5nX3RocmVlLjBkZmU1YWIzZmY5ZjBmOTlhN2YxOGY4ODEzMDFjOWYxMmNhMmUzZGYucG5n/auto/auto/85/notrim/fd14db402e75c5f126765602c1f0b5ec.webp","$0.85"
"Sticker Boom Trail (Glitter)","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2NvbW11bml0eS9lbGVtZW50YWxfY3JhZnQvZ2xpdHRlcl9leHBsb3Npb25fZm91ci43MDIwN2FiNzIzZGM0MjkzOGQxODY5OGMzN2NjZDgzZjBmNzZmNWU1LnBuZw--/auto/auto/85/notrim/fc6989b6e62ff43ee688fceed970fba5.webp","$1.07"
"Sticker Hydro Wave","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2NvbW11bml0eS9lbGVtZW50YWxfY3JhZnQvcGFwZXJfd2F0ZXJfb25lLmNmYzE5OTI4MTA0ODRkOWY5M2Y1MzEzZDUyYmJhZjdkYWZhYTEzMDQucG5n/auto/auto/85/notrim/6f0c47032a14d922d6a769e6c74d3f8f.webp","$1.41"
"Antwerp 2022 BIG (Holo)","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2FudHdlcnAyMDIyL2JpZ19ob2xvLjQwMWE1YWU1ZGMxMDdiNjk0NzlkMzUwM2IxZjVlOTA5ZWQ5NTA1NDkucG5n/auto/auto/85/notrim/54b14e07d090aeaafe6f2cc2051ddec3.webp","$11.29"
"Sticker Taste Buddy (Holo)","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2NvbW11bml0eS9zdGlja2VyX2NyYWZ0L2hvbG9fdG9uZ3VlLjExODAyMmQ1NTRhYmRmNDNlODEzNjFmNzI4MGM1OGUwOTc5MDQxMWQucG5n/auto/auto/85/notrim/ce53db4638da165a9d6088c8cad23d2f.webp","$5.93"
"Sticker Crown (Foil)","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL3N0aWNrZXJzMi9jcm93bl9mb2lsLmU4ODk2NjEyNmQ1Y2ZmNmJmZDdhZDdhZWNiZmYyMWI1OGRjYmI5MWIucG5n/auto/auto/85/notrim/bd82cc1742706411e0ec2244696b5f6d.webp","$399.86"
"Sticker Scorch Loop","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3N0aWNrZXJzL2NvbW11bml0eS9lbGVtZW50YWxfY3JhZnQvcGFwZXJfZmlyZV9vbmUuOGI5MmEwZDE5YmY1ZTU4OTZjNzhlZTQ5MWFiNDgyOGZlMjVhNThjMS5wbmc-/auto/auto/85/notrim/337fec70d285510b3ed9348fe5d14b2b.webp","$1.16"
